Company Name,Tradestyle,Address Line 1,City,Province,Postal Code,Country,Phone,URL,Revenue (USD),Employees (Single Site),Employees (Blended Sites),Business Description,Ownership Type,Entity Type,Parent Company,Parent Country,Ultimate Parent Company,Ultimate Parent Country,D&B Hoovers Industry,NAICS 2012 Code,NAICS 2012 Description,Import/Export Status,Manufacturing Status
Cdyweb,,288 Phillips St,Kingston,Ontario,K7M 3A6,Canada,613-766-0663,http://www.cdyweb.com,"81,028.156",1,1,"Cdyweb is primarily engaged in providing computer processing and data preparation services. The service may consist of complete processing and preparation of reports from data supplied by the customer or a specialized service, such as data entry or making data processing equipment available on an hourly or time-sharing basis.",Private,Independent,,,,,Data Processing,518210,"Data Processing, Hosting, and Related Services",,
CE Safety,,36 Day St,Kingston,Ontario,K7K 4X8,Canada,613-583-3722,http://www.cesafety.com,"220,076.46",2,2,"CE Safety is primarily engaged in furnishing business consulting services, not elsewhere classified, on a contract or fee basis.",Private,Independent,,,,,Consulting Services,541618,Other Management Consulting Services,,
Cecs Chinese Kitchen,,457 Princess St,Kingston,Ontario,K7L 1C3,Canada,,,"230,079.95",5,5,Cecs Chinese Kitchen is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.,Private,Independent,,,,,Restaurants and Bars,722511,Full-Service Restaurants,,
Cedar Island Sales & Service Ltd,,700 Arlington Park Pl,Kingston,Ontario,K7M 7N7,Canada,613-389-2242,,"200,069.52",1,1,"Cedar Island Sales & Service Ltd is primarily engaged in the wholesale distribution of games, toys, hobby goods and supplies, and related goods, such as fireworks and playing cards.",Private,Independent,,,,,Miscellaneous Wholesale,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,,
Cedar Island Sales And Service Co Ltd,,159 Wellington St,Kingston,Ontario,K7L 3E1,Canada,,,"140,048.65",1,1,Cedar Island Sales And Service Co Ltd is primarily engaged in community improvement and social change. Organizations primarily engaged in soliciting contributions on their own account and administering appropriations and allocating funds among other agencies engaged in social welfare services are also included.,Private,Independent,,,,,Associations and Organizations,813319,Other Social Advocacy Organizations,,
CeFar Associated Services Ltd,,361 Mowat Ave,Kingston,Ontario,K7M 1L2,Canada,613-547-4464,,"100,034.76",1,1,"CeFar Associated Services Ltd is primarily engaged in providing commercial art or graphic design services for advertising agencies, publishers, and other business and industrial users.",Private,Independent,,,,,Specialized Design Services,541430,Graphic Design Services,,
Ceilcare,,912 Safari Dr,Kingston,Ontario,K7M 6X5,Canada,613-389-5667,,,1,1,"Ceilcare is a special trade contractor primarily engaged in  the installation of roofing, siding, and sheet metal work.",Private,Independent,,,,,Specialty Construction Trade Contractors,238160,Roofing Contractors,,
Celebrate With A Cake,,550 Days Rd Unit 2,Kingston,Ontario,K7M 3R7,Canada,,,"93,032.323",2,2,Celebrate With A Cake is primarily engaged in the retail sale of bakery products. The products may be purchased from others or made on the premises.,Private,Independent,,,,,Food Manufacturing,311811,Retail Bakeries,,
Cellar Door Antiques,Din N Strip Refinishing,359 Barrie St,Kingston,Ontario,K7K 3T2,Canada,,,"110,038.23",1,1,"Cellar Door Antiques is primarily engaged in the retail sale of used merchandise, antiques, and secondhand goods, such as clothing and shoes; furniture; books and rare manuscripts; musical instruments; office furniture; phonographs and phonograph records; and store fixtures and equipment. This industry also includes pawnshops.",Private,Independent,,,,,Miscellaneous Store Retailers,453310,Used Merchandise Stores,,
Cellular Solutions,,1015 Centennial Dr,Kingston,Ontario,K7P 3B7,Canada,,,"130,045.18",1,1,"Cellular Solutions is primarily engaged in the retail sale of specialized lines of merchandise, not elsewhere classified, such as artists' supplies; orthopedic and artificial limbs; rubber stamps; pets; religious goods; and monuments and tombstones.",Private,Independent,,,,,Miscellaneous Store Retailers,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),,
Centennial Engravers & Trophies,,2698 Princess St,Kingston,Ontario,K7P 2W6,Canada,,http://www.centennialengravers.com,"200,069.52",2,2,"Centennial Engravers & Trophies is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis.",Partnership,Independent,,,,,Miscellaneous Professional Services,561990,All Other Support Services,,
Central Aviation Security Ltd,,1138 Len Birchall Way,Kingston,Ontario,K7M 9A1,Canada,613-389-9300,,"1,200,417.20",20,20,"Central Aviation Security Ltd is a sports and recreation club which restricts its use to members and their guests, such as a country, golf, tennis, yacht, and amateur sports and recreation club.",Private,Independent,,,,,Miscellaneous Amusement and Recreation,713940,Fitness and Recreational Sports Centers,,
Central City Automotive,,480 Princess St,Kingston,Ontario,K7L 1C2,Canada,,,"200,069.52",2,2,Central City Automotive is primarily engaged in general automotive repair.,Private,Independent,,,,,Motor Vehicle Repair and Maintenance,811111,General Automotive Repair,,
Central Dental Laboratories,,540 Armstrong Rd Suite C,Kingston,Ontario,K7M 7N8,Canada,613-546-3068,,"80,027.804",1,1,"Central Dental Laboratories is primarily engaged in making dentures, artificial teeth, and orthodontic appliances to order for the dental profession.",Private,Independent,,,,,Medical Equipment and Supplies,339116,Dental Laboratories,,
Centre 70 Arena,,100 Day St,Kingston,Ontario,K7K 4Y2,Canada,613-389-5815,,"330,114.69",1,1,"Centre 70 Arena is primarily engaged in operating and promoting professional and semiprofessional athletic clubs; promoting athletic events, including amateur; and managing individual professional athletes. Stadiums and athletic fields are included only if the operator is actually engaged in the promotion of athletic events.",Private,Independent,,,,,Spectator Sports,711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",,
"Centre Culturel Frontenac, Le","Octave Theatre, The",711 Dalton Ave,Kingston,Ontario,K7M 8N6,Canada,613-546-1331,http://www.centreculturelfrontenac.com,"490,170.30",5,5,"Centre Culturel Frontenac, Le is a membership organization engaged in civic, social, or fraternal activities.",Private,Independent,,,,,Associations and Organizations,813410,Civic and Social Organizations,,
Centre d'alphabetisation d'Education et de Formation pour Adultes,"Route du Savoir, La",711 Dalton Ave Suite 187,Kingston,Ontario,K7M 8N6,Canada,613-544-7447,http://www.laroutedusavoir.org,"800,278.07",5,5,"Centre d'alphabetisation d'Education et de Formation pour Adultes is a membership organization, not elsewhere classified.",Nonprofit,Independent,,,,,Associations and Organizations,813410,Civic and Social Organizations,,
Centre for Addiction and Mental Health,CAMH,1473 John Counter Blvd Suite 402,Kingston,Ontario,K7M 8Z6,Canada,613-546-4266,http://www.camh.ca,,4,4,"Centre for Addiction and Mental Health is primarily engaged in performing noncommercial research into and dissemination of, information for public health, education, or general welfare. Establishments included here operate primarily on funds from endowments, contributions, and grants.",Public Sector,Branch,Centre for Addiction and Mental Health,Canada,Centre for Addiction and Mental Health,Canada,Research and Development Services,541720,Research and Development in the Social Sciences and Humanities,,
"Centre For Transport Training Inc, The",,2555 Mcivor Rd,Kingston,Ontario,K7L 4V4,Canada,613-545-9409,,"190,066.04",1,1,"Centre For Transport Training Inc, The is primarily engaged in furnishing ""over-the-road"" trucking services or trucking services and storage services, including household goods either as common carriers or under special or individual contracts or agreements, for freight generally weighing more than 100 pounds. Such operations are principally outside a single municipality, outside one group of contiguous municipalities, or outside a single municipality and its suburban areas.",Private,Independent,,,,,Trucking,484121,"General Freight Trucking, Long-Distance, Truckload",,
Centre of Primary Care Studies,,220 Bagot St,Kingston,Ontario,K7L 3G2,Canada,613-533-9303,,"1,300,451.80",10,10,"Centre of Primary Care Studies is primarily engaged in performing commercial business, marketing, opinion, and other economic, sociological, and educational research on a contract or fee basis.",Private,Independent,,,,,Research and Development Services,541910,Marketing Research and Public Opinion Polling,,
Centre Stage Music,,1095 Princess St,Kingston,Ontario,K7L 1H3,Canada,613-547-2469,http://www.cntrstgmusic.com,"300,104.29",3,3,"Centre Stage Music is primarily engaged in the retail sale of musical instruments, sheet music, and similar supplies.",Partnership,Independent,,,,,Sporting Goods and Recreation Stores,451140,Musical Instrument and Supplies Stores,,
Century 21 Champ Realty Ltd,,1642 Bath Rd Suite 101,Kingston,Ontario,K7M 4X6,Canada,613-389-2121,,,1,1,"Century 21 Champ Realty Ltd is primarily engaged in renting, buying, selling, managing, and appraising real estate for others.",Private,Independent,,,,,Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,,
Century 21 Champ Realty Ltd,,1748 Bath Rd,Kingston,Ontario,K7M 4Y2,Canada,613-389-2190,http://www.teamchamp.ca,"750,260.65",6,6,"Century 21 Champ Realty Ltd is primarily engaged in renting, buying, selling, managing, and appraising real estate for others.",Private,Independent,,,,,Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,,
Century 21 Limestone Realty Ltd,,2392 Princess St,Kingston,Ontario,K7M 3G4,Canada,613-384-4441,http://www.kingstonagents.com,"130,045.18",1,1,"Century 21 Limestone Realty Ltd is primarily engaged in renting, buying, selling, managing, and appraising real estate for others.",Private,Independent,,,,,Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,,
Century 21 Town & Country,,836 Gardiners Rd,Kingston,Ontario,K7M 3X9,Canada,613-384-3333,,"130,045.18",1,1,"Century 21 Town & Country is primarily engaged in renting, buying, selling, managing, and appraising real estate for others.",Private,Independent,,,,,Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,,
Century 21 Town & Country Realty Inc,,Hwy 15 Barrie Field,Kingston,Ontario,K7L 5H6,Canada,613-545-3333,http://www.c21wyld.com,"1,400,486.60",11,11,"Century 21 Town & Country Realty Inc is primarily engaged in renting, buying, selling, managing, and appraising real estate for others.",Private,Independent,,,,,Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,,
Century 21 Town Country Realty Inc,,813 Blackburn Mews,Kingston,Ontario,K7P 2N6,Canada,613-545-3333,http://www.c21wyld.com,"1,900,660.30",15,15,"Century 21 Town Country Realty Inc is primarily engaged in renting, buying, selling, managing, and appraising real estate for others.",Private,Independent,,,,,Real Estate Agents and Brokers,531210,Offices of Real Estate Agents and Brokers,,
Centuryvallen,,133 Dalton Ave,Kingston,Ontario,K7K 6C2,Canada,,,"40,013.902",1,1,"Centuryvallen is primarily engaged in furnishing building cleaning and maintenance services, not elsewhere classified, such as window cleaning, janitorial service, floor waxing, and office cleaning.",Private,Independent,,,,,Building and Dwelling Services,561720,Janitorial Services,,
Ceramiques L'antre Des Loups,,423 Laura Ave,Kingston,Ontario,K7K 7M4,Canada,613-328-7497,,"99,034.406",1,1,"Ceramiques L'antre Des Loups is primarily engaged in the retail sale of toys, games, and hobby and craft kits and supplies.",Private,Independent,,,,,Sporting Goods and Recreation Stores,451120,"Hobby, Toy, and Game Stores",,
Certified Dental Specialists,,1300 Bath Rd Suite 8,Kingston,Ontario,K7M 4X4,Canada,613-544-4423,,,3,3,"Establishments of licensed practitioners having the degree of D.M.D. or D.D.S. (or D.D.Sc.) and engaged in the practice of general or specialized dentistry, including dental surgery. Establishments operating as clinics of dentists are included in this industry.",Private,Independent,,,,,Dentists,621210,Offices of Dentists,,
Certigard (Petro-Canada),Petro Canada Service Station,56 Bath Rd,Kingston,Ontario,K7L 1H5,Canada,613-547-2487,http://www.petro-canada.ca,"170,059.08",2,2,"Certigard (Petro-Canada) is primarily engaged in furnishing automotive services, except repair and carwashes.",Partnership,Independent,,,,,Motor Vehicle Repair and Maintenance,811198,All Other Automotive Repair and Maintenance,,
Cha Cha Tea,,1681 Bath Rd,Kingston,Ontario,K7M 4X2,Canada,613-634-8588,http://www.chachatea.com,"67,023.285",1,1,"Cha Cha Tea is primarily engaged in the retail sale of specialized foods, not elsewhere classified, such as eggs, poultry, health foods, spices, herbs, coffee, and tea. The poultry stores may sell live poultry, slaughter and clean poultry for their own account, and sell dressed fowls, or sell fowls cleaned and dressed by others.",Private,Independent,,,,,Grocery Stores,445299,All Other Specialty Food Stores,,
Chadwick Engineering Ltd,,633 Norris Crt Suite 1,Kingston,Ontario,K7P 2R9,Canada,613-384-2866,http://www.chadwickengineering.com,"1,500,521.30",15,15,"Chadwick Engineering Ltd is primarily engaged in manufacturing machinery and equipment and parts, such as amusement park equipment and flexible metal hose and tubing. This also includes producing or repairing machinery and equipment parts, not elsewhere classified, on a job or order basis for others.",Private,Independent,,,,,Metal Products Manufacturing,333999,All Other Miscellaneous General Purpose Machinery Manufacturing,Both Imports & Exports,TRUE
"Champagne, Pascale",,1987 Legacy Crt,Kingston,Ontario,K7M 9H7,Canada,613-634-8263,http://www.waterresearchcentre.ca,"110,038.23",1,1,"Champagne, Pascale is primarily engaged in providing professional engineering services. Establishments primarily providing and supervising their own engineering staff on temporary contract to other firms are included in this industry.",Private,Independent,,,,,Architecture and Engineering,541330,Engineering Services,,
Champion Masonry Ltd.,,259 Lakeview Ave,Kingston,Ontario,K7M 3V7,Canada,613-540-2630,http://www.championmasonry.ca,,2,2,"Champion Masonry Ltd. is a special trade contractor primarily engaged in  masonry work, stone setting, and other stone work.",Private,Independent,,,,,Specialty Construction Trade Contractors,238140,Masonry Contractors,,
"Chan, Dr Roy DDS",,76 Stuart St,Kingston,Ontario,K7L 2V7,Canada,613-546-4933,,"78,027.114",1,1,"Establishments of licensed practitioners having the degree of D.M.D. or D.D.S. (or D.D.Sc.) and engaged in the practice of general or specialized dentistry, including dental surgery. Establishments operating as clinics of dentists are included in this industry.",Private,Independent,,,,,Dentists,621210,Offices of Dentists,,
"Chandrarajan, Dr Leonard B",,797 Princess St Suite 410,Kingston,Ontario,K7L 1G1,Canada,613-544-8400,,"170,059.08",2,2,Establishments of licensed practitioners having the degree of M.D. and engaged in the practice of general or specialized medicine and surgery. Establishments operating as clinics of physicians are included in this industry.,Private,Independent,,,,,Physicians and Health Practitioners,621111,Offices of Physicians (except Mental Health Specialists),,
Change Health Care,,7 Hickson Ave,Kingston,Ontario,K7K 2N4,Canada,613-542-3831,,,,,Nonclassifiable establishments,Private,Independent,,,,,Nonclassifiable Establishments,9999,Nonclassifiable Establishments,,
Change Health Care Inc.,,559 Princess St,Kingston,Ontario,K7L 1C8,Canada,613-549-6060,http://www.changehealthcare.ca,"430,149.47",3,3,Change Health Care Inc. is primarily engaged in community improvement and social change. Organizations primarily engaged in soliciting contributions on their own account and administering appropriations and allocating funds among other agencies engaged in social welfare services are also included.,Private,Independent,,,,,Associations and Organizations,813319,Other Social Advocacy Organizations,,
Chanter Services,,50 Maccauley,Kingston,Ontario,K7K 2V8,Canada,613-449-3059,,,,,Nonclassifiable establishments,Private,Independent,,,,,Nonclassifiable Establishments,9999,Nonclassifiable Establishments,,
"Chapman, Jack Woodworking",,1274 Princess St,Kingston,Ontario,K7M 3C9,Canada,613-542-5325,,"280,097.31",2,2,"Chapman, Jack Woodworking is a special trade contractor primarily engaged in  the installation or erection of building equipment, not elsewhere classified, such as elevators, pneumatic tube systems, and dust collecting equipment. This industry also includes contractors primarily engaged in the installation or dismantling of machinery or other industrial equipment.",Private,Independent,,,,,Specialty Construction Trade Contractors,238290,Other Building Equipment Contractors,,
Chapman's Building Service,,232 Berryton Rd,Seeleys Bay,Ontario,K0H 2N0,Canada,613-387-3466,,"1,000,347.60",5,5,"Chapman's Building Service is a general contractor primarily engaged in construction (including new work, additions, alterations, remodeling, and repair) of single-family houses.",Private,Independent,,,,,Residential and Commercial Building Construction,236115,New Single-Family Housing Construction (except For-Sale Builders),,
"Chard, Brian Design",,15 Stormont Ave,Kingston,Ontario,K7M 1N9,Canada,613-893-0625,http://www.brianchard.com,,,,Nonclassifiable establishments,Private,Independent,,,,,Nonclassifiable Establishments,9999,Nonclassifiable Establishments,,
Charette Custom Homes Inc,,3156 Lakefield Dr,Inverary,Ontario,K0H 1X0,Canada,613-653-4663,http://www.charettecustomhomes.com,"200,069.52",1,1,"Charette Custom Homes Inc is a general contractor primarily engaged in construction (including new work, additions, alterations, remodeling, and repair) of single-family houses.",Private,Independent,,,,,Residential and Commercial Building Construction,236115,New Single-Family Housing Construction (except For-Sale Builders),,
Charm Jewelry Limited,Charm Diamond Centres,945 Gardiners Rd,Kingston,Ontario,K7M 7H4,Canada,613-384-0014,http://www.charmdiamondcentres.com,,7,7,"Charm Jewelry Limited is primarily engaged in the retail sale of any combination of the lines of jewelry, such as diamonds and other precious stones mounted in precious metals as rings, bracelets, and broaches; sterling and plated silverware; and watches and clocks.",Private,Branch,Charm Jewelry Limited,Canada,Charm Jewelry Limited,Canada,Clothing and Apparel Stores,448310,Jewelry Stores,,
Chartreuse Flower,,577 Division St,Kingston,Ontario,K7K 4B7,Canada,613-329-9443,http://www.chartreuseflowerworks.com,,10,10,Chartreuse Flower is primarily engaged in the retail sale of cut flowers and growing plants.,Private,Independent,,,,,Miscellaneous Store Retailers,453110,Florists,,
Chartwell Master Care LP,Conservatory Pond Retirement Residence,1499 Stoneridge Dr,Kingston,Ontario,K7M 9H9,Canada,613-549-4049,http://www.chartwellreit.ca,,1,1,"Chartwell Master Care LP is primarily engaged in providing one or more of a wide variety of individual and family social, counseling, welfare, or referral services, including refugee, disaster, and temporary relief services. This industry includes offices of specialists providing counseling, referral, and other social services.",Private,Branch,Chartwell Master Care LP,Canada,Chartwell Master Care LP,Canada,Social and Rehabilitation Services,624120,Services for the Elderly and Persons with Disabilities,,
Chase Renovations,,34 Barbara Ave Suite 2,Kingston,Ontario,K7K 2M8,Canada,613-634-9752,,,5,5,"Chase Renovations is a general contractor primarily engaged in construction (including new work, additions, alterations, remodeling, and repair) of single-family houses.",Private,Independent,,,,,Residential and Commercial Building Construction,236118,Residential Remodelers,,
Chatters Salons,,945 Gardiners Rd,Kingston,Ontario,K7M 7H4,Canada,613-389-1088,,,5,5,"Chatters Salons is primarily engaged in furnishing beauty or hairdressing services. This industry also includes combination beauty and barber shops, as well as hairdressing shops serving both male and female clientele. Beauty and cosmetology schools are included in this industry.",Private,Independent,,,,,Personal Care Services,812112,Beauty Salons,,
Chem-Dry By Metzler,,601 Watford Pl,Kingston,Ontario,K7M 5W7,Canada,613-634-7497,http://www.kahba.ca,"100,034.76",3,3,Chem-Dry By Metzler is primarily engaged in cleaning carpets and upholstered furniture at a plant or on customers' premises.,Private,Independent,,,,,Building and Dwelling Services,561740,Carpet and Upholstery Cleaning Services,Imports,
Chermere Day Spa,,68 Brock St,Kingston,Ontario,K7L 1R9,Canada,613-767-6652,http://www.cher-mere.ca,"45,015.641",1,1,"Chermere Day Spa is primarily engaged in operating reducing and other health clubs, spas, and similar facilities featuring exercise and other active physical fitness conditioning, whether or not on a membership basis. Also included in this industry are establishments providing aerobic dance and exercise classes.",Private,Independent,,,,,Fitness and Recreation Centers,713940,Fitness and Recreational Sports Centers,,
Chestnut Computer,,324 Mcmahon Ave,Kingston,Ontario,K7M 3H6,Canada,613-583-6366,,"100,034.76",1,1,Chestnut Computer is primarily engaged in the maintenance and repair of computers and computer peripheral equipment.,Private,Independent,,,,,Computer and Office Machine Repair and Maintenance,811212,Computer and Office Machine Repair and Maintenance,,
"Chestnut, Dr H Arnie",,725A Gardiners Rd,Kingston,Ontario,K7M 3Y5,Canada,613-389-8785,,"620,215.48",8,8,"Establishments of licensed practitioners having the degree of D.M.D. or D.D.S. (or D.D.Sc.) and engaged in the practice of general or specialized dentistry, including dental surgery. Establishments operating as clinics of dentists are included in this industry.",Private,Independent,,,,,Dentists,621210,Offices of Dentists,,
Chez Piggy Restaurant Limited,,68R Princess St,Kingston,Ontario,K7L 1A5,Canada,613-549-7673,http://www.chezpiggy.com,"12,504,344",30,150,"Chez Piggy Restaurant Limited is primarily engaged in manufacturing fresh or frozen bread and bread-type rolls and fresh cakes, pies, pastries and other similar ""perishable"" bakery products.",Private,Parent,,,,,Food Manufacturing,311812,Commercial Bakeries,,TRUE
Chez Piggy Restaurant Limited,Pan Chancho Bakery,44 Princess St,Kingston,Ontario,K7L 1A4,Canada,613-544-7790,http://www.chezpiggy.com,,80,80,Chez Piggy Restaurant Limited is primarily engaged in the retail sale of bakery products. The products may be purchased from others or made on the premises.,Private,Branch,Chez Piggy Restaurant Limited,Canada,Chez Piggy Restaurant Limited,Canada,Food Manufacturing,311811,Retail Bakeries,,
Chez T's,,459 Princess St,Kingston,Ontario,K7L 1C3,Canada,,,"140,048.65",5,5,"Chez T's is primarily engaged in furnishing beauty or hairdressing services. This industry also includes combination beauty and barber shops, as well as hairdressing shops serving both male and female clientele. Beauty and cosmetology schools are included in this industry.",Private,Independent,,,,,Personal Care Services,812112,Beauty Salons,,
Child Development Centre,,166 Brock St Suite 1,Kingston,Ontario,K7L 5G2,Canada,613-549-2680,,,3,3,Child Development Centre is primarily engaged in providing general medical and surgical services and other hospital services.,Private,Independent,,,,,Hospitals,622110,General Medical and Surgical Hospitals,,
Childbirth Kingston,,391 Barrie St,Kingston,Ontario,K7K 3T6,Canada,,http://www.childbirthkingston.com,,,,Nonclassifiable establishments,Private,Independent,,,,,Nonclassifiable Establishments,9999,Nonclassifiable Establishments,,
Childcare Resource Centre,,76 Ordnance St,Kingston,Ontario,K7K 5V1,Canada,,,,1,1,"Childcare Resource Centre is primarily engaged in the care of infants or children, or in providing pre-kindergarten education, where medical care or delinquency correction is not a major element. These establishments may or may not have substantial educational programs. These establishments generally care for pre-kindergarten or preschool children, but may care for older children when they are not in school.",Private,Independent,,,,,Child Day Care Services,624410,Child Day Care Services,,
Childrens Aid Society,,817 Division St,Kingston,Ontario,K7K 4C2,Canada,613-650-1558,http://www.facsfla.ca,"41,014.25",1,1,"Childrens Aid Society is primarily engaged in the care of infants or children, or in providing pre-kindergarten education, where medical care or delinquency correction is not a major element. These establishments may or may not have substantial educational programs. These establishments generally care for pre-kindergarten or preschool children, but may care for older children when they are not in school.",Private,Independent,,,,,Child Day Care Services,624410,Child Day Care Services,,
Children's Aid Society of The City of Kingston,,1479 John Counter Blvd,Kingston,Ontario,K7M 7J3,Canada,613-542-7351,,"54,018.769",1,1,"Children's Aid Society of The City of Kingston is primarily engaged in providing one or more of a wide variety of individual and family social, counseling, welfare, or referral services, including refugee, disaster, and temporary relief services. This industry includes offices of specialists providing counseling, referral, and other social services.",Private,Independent,,,,,Social and Rehabilitation Services,624110,Child and Youth Services,,
Childrens Clinic,,166 Brock St,Kingston,Ontario,K7L 5G2,Canada,,http://www.hoteldieu.com,,1,1,"Childrens Clinic is primarily engaged in the care of infants or children, or in providing pre-kindergarten education, where medical care or delinquency correction is not a major element. These establishments may or may not have substantial educational programs. These establishments generally care for pre-kindergarten or preschool children, but may care for older children when they are not in school.",Private,Independent,,,,,Child Day Care Services,624410,Child Day Care Services,,
Children's Eye Research Center,,725 Arlington Park Pl,Kingston,Ontario,K7M 7E4,Canada,613-888-6166,,"83,028.845",1,1,Establishments of licensed practitioners having the degree of M.D. and engaged in the practice of general or specialized medicine and surgery. Establishments operating as clinics of physicians are included in this industry.,Private,Independent,,,,,Physicians and Health Practitioners,621111,Offices of Physicians (except Mental Health Specialists),,
"Children's Place (Canada) LP, The","Children's Place, The",945 Gardiners Rd,Kingston,Ontario,K7M 7H4,Canada,613-634-2567,,,25,25,"Children's Place (Canada) LP, The is primarily engaged in the retail sale of children's and infants' clothing, furnishings, and accessories. Such establishments may specialize in either children's or infants' wear or they may sell a combination of children's and infants' wear.",Private,Branch,"Children's Place (Canada) LP, The",Canada,The Children's Place Inc,United States,Clothing and Apparel Stores,448130,Children's and Infants' Clothing Stores,,
Chinese Acupuncture Clinic,,1343 Princess St,Kingston,Ontario,K7M 3E4,Canada,613-546-9988,,"66,022.94",1,1,"Establishments of health practitioners engaged in the practice of health fields, not elsewhere classified. Practitioners may or may not be licensed or certified, depending on the State in which they practice. Establishments operating as clinics of health practitioners, not elsewhere classified, are included in this industry.",Private,Independent,,,,,Physicians and Health Practitioners,621399,Offices of All Other Miscellaneous Health Practitioners,,
"Chippior, Dr Rebecca",,265 Concession St,Kingston,Ontario,K7K 2B7,Canada,613-546-5744,,,10,10,"Chippior, Dr Rebecca is primarily engaged in the retail sale of eyeglasses and contact lenses to prescription for individuals.",Private,Independent,,,,,Pharmacies and Personal Care Stores,446130,Optical Goods Stores,,
Chiropractic Life Centre,,182 Nelson St,Kingston,Ontario,K7L 3X1,Canada,613-549-7977,http://www.kingstownchiropractic.com,"330,114.69",5,5,Establishments of licensed practitioners having the degree of D.C. and engaged in the practice of chiropractic medicine. Establishments operating as clinics of chiropractors are included in this industry.,Private,Independent,,,,,Physicians and Health Practitioners,621310,Offices of Chiropractors,,
Choice Com,,556 O'Connor Dr,Kingston,Ontario,K7P 1N3,Canada,613-634-5588,http://www.choicecom.ca,"190,066.04",1,1,"Choice Com is primarily engaged in the wholesale distribution of office machines and related equipment, including photocopy and microfilm equipment and safes and vaults.",Private,Independent,,,,,"Computer, Office Equipment and Software Merchant Wholesalers",423420,Office Equipment Merchant Wholesalers,,
Choice Hotels Canada Inc,,1454 Princess St,Kingston,Ontario,K7M 3E5,Canada,613-549-5550,,,1,1,"Commercial establishments, known to the public as hotels, motor hotels, motels, or tourist courts, primarily engaged in providing lodging, or lodging and meals, for the general public. Hotels which are operated by membership organizations and open to the general public are included in this industry.",Private,Branch,Choice Hotels Canada Inc,Canada,Choice Hotels Canada Inc,Canada,Hotels and Accommodation,721110,Hotels (except Casino Hotels) and Motels,,
Chong & O'neill,,Gd Lcd Main,Kingston,Ontario,K7L 4V5,Canada,613-549-1225,http://www.cfla.on.ca,"680,236.34",6,6,Establishments which are headed by members of the bar and are primarily engaged in offering legal advice or services.,Private,Independent,,,,,Legal Services,541110,Offices of Lawyers,,
Chong Lee Tae Kwon Do-Kingston Academy,,362 Division St,Kingston,Ontario,K7K 4A3,Canada,,,"200,069.52",3,3,"Chong Lee Tae Kwon Do-Kingston Academy is primarily engaged in the operation of sports, amusement, and recreation services, not elsewhere classified, such as bathing beaches, swimming pools, riding academies and schools, carnival operation, exposition operation, horse shows, picnic grounds operation, rental of rowboats and canoes, and shooting galleries.",Private,Independent,,,,,Miscellaneous Amusement and Recreation,711219,Other Spectator Sports,,
Choquette Cks,,31 Steve Fonyo Dr Suite 101,Kingston,Ontario,K7M 8P1,Canada,613-389-4672,,"3,001,042.60",25,25,"Choquette Cks is a special trade contractor primarily engaged in  construction work, not elsewhere classified, such as construction of swimming pools and fences, erection and installation of ornamental metal work, house moving, shoring work, waterproofing, dampproofing, fireproofing, sandblasting, and steam cleaning of building exteriors.",Private,Independent,,,,,Specialty Construction Trade Contractors,238990,All Other Specialty Trade Contractors,,
Chown Memorial Parking Lot,,197 Brock St,Kingston,Ontario,K7L 1S3,Canada,,,,1,1,"Chown Memorial Parking Lot is primarily engaged in the temporary parking of automobiles, usually on an hourly, daily, or monthly contract or fee basis.",Private,Independent,,,,,Miscellaneous Personal Services,812930,Parking Lots and Garages,,
"Chown, John B","Chown, John B Law Office",1480 Bath Rd Unit 201,Kingston,Ontario,K7M 4X6,Canada,613-548-3330,,"230,079.95",2,2,Establishments which are headed by members of the bar and are primarily engaged in offering legal advice or services.,Private,Independent,,,,,Legal Services,541110,Offices of Lawyers,,
Chris's Cleaners,,169 Norman Rogers Dr,Kingston,Ontario,K7M 2R3,Canada,613-544-9083,,"200,069.52",5,5,"Chris's Cleaners is primarily engaged in furnishing building cleaning and maintenance services, not elsewhere classified, such as window cleaning, janitorial service, floor waxing, and office cleaning.",Private,Independent,,,,,Building and Dwelling Services,561720,Janitorial Services,,
Christ Church Cataraqui,,990 Sydenham Rd,Kingston,Ontario,K7M 3L7,Canada,613-545-5858,,"250,086.90",3,3,"Establishments of religious organizations operated for worship, religious training or study, government or administration of an organized religion, or for promotion of religious activities. Other establishments maintained by religious organizations, such as educational institutions, hospitals, publishing houses, reading rooms, social services, and secondhand stores, are classified according to their primary activity. Also included in this industry are religious groups which reach the public through radio or television media.",Nonprofit,Independent,,,,,Associations and Organizations,813110,Religious Organizations,,
