Company Name,Address Line 1,Postal Code,Phone,URL,Revenue (USD),Business Description
Kingston General Hospital Auxiliary,76 Stuart St,K7L 2V7,613-548-3232,http://www.kgh.on.ca,1800625.6,"Kingston General Hospital Auxiliary is primarily engaged in the retail sale of combined lines of gifts and novelty merchandise, souvenirs, greeting cards, holiday decorations, and miscellaneous small art goods."
Beth Israel Congregation,116 Centre St,K7L 4E6,613-542-5012,http://www.kingston-bethisrael.ca,1800625.6,"Establishments of religious organizations operated for worship, religious training or study, government or administration of an organized religion, or for promotion of religious activities. Other establishments maintained by religious organizations, such as educational institutions, hospitals, publishing houses, reading rooms, social services, and secondhand stores, are classified according to their primary activity. Also included in this industry are religious groups which reach the public through radio or television media."
"Black, F. W. Limited",685 Arlington Park Pl,K7M 7E4,613-389-9607,http://www.fwblack.com,1800625.6,"Black, F. W. Limited is primarily engaged in the retail sale of electric and gas refrigerators, stoves, and other household appliances, such as electric irons, percolators, hot plates, and vacuum cleaners. Many such stores also sell radio and television sets. Retail stores operated by public utility companies and primarily engaged in the sale of electric and gas appliances for household use are classified in this industry."
J. Harrison Excavating And Pipeline Ltd,21 Steve Fonyo Dr,K7M 8P1,613-384-3432,http://www.jharrisonexcavating.com,1800625.6,"J. Harrison Excavating And Pipeline Ltd is a special trade contractor primarily engaged in  the construction of heavy projects, not elsewhere classified."
Kingston Country Depot,1093 John Counter Blvd,K7K 6C7,,,1800625.6,"Kingston Country Depot is primarily engaged in selling trees, shrubs, other plants, seeds, bulbs, mulches, soil conditioners, fertilizers, pesticides, garden tools, and other garden supplies to the general public. These establishments primarily sell products purchased from others, but may sell some plants which they grow themselves."
Guardsman Insurance Services Inc,2447 Princess St,K7M 3G1,613-549-8777,http://www.guardsmaninsurance.com,1800625.6,"Agents primarily representing one or more insurance carriers, or brokers not representing any particular carriers primarily engaged as independent contractors in the sale or placement of insurance contracts with carriers, but not employees of the insurance carriers they represent. This industry also includes independent organizations concerned with insurance services."
Exclusive Cooling Ltd,597 Justus Dr,K7M 4H5,613-389-9250,http://www.exclusivecooling.yp.ca,1800625.6,"Exclusive Cooling Ltd is a special trade contractor primarily engaged in  plumbing, heating, air-conditioning, and similar work. Sheet metal work performed by plumbing, heating, and air-conditioning contractors in conjunction with the installation of plumbing, heating, and air-conditioning equipment is included."
M C Decor Ltd,981 Division St,K7K 4C8,613-542-0362,,1800625.6,"M C Decor Ltd is primarily engaged in selling primarily lumber, or lumber and a general line of building materials, to the general public. While these establishments may sell primarily to construction contractors, they are known as retail in the trade. The lumber which they sell may include rough and dressed lumber, flooring, molding, doors, sashes, frames, and other millwork. The building materials may include roofing, siding, shingles, wallboard, paint, brick, tile, cement, sand, gravel, and other building materials and supplies. Hardware is often an important line sold by retail lumber and building materials dealers."
"Knox, Jack Well Drilling Ltd",2580 Perth Rd,K0H 1S0,613-546-6164,http://www.jackknoxwelldrilling.com,1800625.6,"Knox, Jack Well Drilling Ltd is primarily engaged in drilling wells for oil or gas field operations for others on a contract or fee basis. This industry includes contractors that specialize in spudding in, drilling in, redrilling, and directional drilling."
Raxx Billiards & Bar,665 Development Dr,K7M 4W6,613-634-3337,http://www.raxx.ca,1800625.6,"Raxx Billiards & Bar is primarily engaged in the retail sale of alcoholic drinks, such as beer, ale, wine, and liquor, for consumption on the premises. The sale of food frequently accounts for a substantial portion of the receipts of these establishments."
238905 Ontario Limited,1504 Bath Rd,K7M 4X6,613-546-4248,http://www.wardsmarine.ca,1800625.6,"238905 Ontario Limited is primarily engaged in the retail sale of new and used motor boats and other watercraft, marine supplies, and outboard motors."
Mulrooney Metal Recyclers Limited,1280 Mcadoo's Lane,K7L 4V4,613-548-8665,http://www.kmulrooneytrucking.com,1800625.6,"Mulrooney Metal Recyclers Limited is primarily engaged in the collection and disposal of refuse by processing or destruction or in the operation of incinerators, waste treatment plants, landfills, or other sites for disposal of such materials."
Safe Step Building Treatment Inc,167 Lakeshore Blvd,K7M 6S2,613-634-4476,http://www.buildingtreatments.com,1800625.6,"Safe Step Building Treatment Inc is a special trade contractor primarily engaged in  construction work, not elsewhere classified, such as construction of swimming pools and fences, erection and installation of ornamental metal work, house moving, shoring work, waterproofing, dampproofing, fireproofing, sandblasting, and steam cleaning of building exteriors."
Brock Air Services Ltd,1138 Len Birchall Way,K7M 9A1,613-634-1315,,1800625.6,"Brock Air Services Ltd is primarily engaged in furnishing nonscheduled air transportation. Also This also includes furnishing airplane sight-seeing services, air taxi services and helicopter passenger transportation services to, from, or between local airports, whether or not scheduled."
Fruition Berry Farm,3208 Hughes Rd,K7L 4V3,613-548-3378,http://www.fruition.ca,1800625.6,"Fruition Berry Farm derives 50 percent or more of its total value of sales of agricultural products from crops, including horticultural specialties, but less than 50 percent from products of any single type."
1178368 Ontario Inc,1530 Bath Rd,K7M 4X6,,,1700590.8,1178368 Ontario Inc is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.
W. I. Villager Ltd,598 Norris Crt,K7P 2R9,613-384-3930,http://www.marshlandscanada.com,1700590.8,"W. I. Villager Ltd is primarily engaged in pleating, decorative and novelty stitching, and tucking for the trade."
Maple Family Health Team Inc,1036 Princess St Unit 2D,K7L 1H2,613-531-5888,http://www.maplefht.ca,1700590.8,Establishments of licensed practitioners having the degree of M.D. and engaged in the practice of general or specialized medicine and surgery. Establishments operating as clinics of physicians are included in this industry.
Hayabusa Fightwear Inc,677 Innovation Dr Unit 9,K7K 7E6,888-776-1662,http://www.hayabusa-academy.com,1700590.8,"Hayabusa Fightwear Inc is primarily engaged in the retail sale of sporting goods, sporting equipment, and bicycles, bicycle parts, and accessories."
Cataraqui Granite Co,2400 Highway 38,K7P 2Y7,613-389-3998,http://www.cataraquigranite.com,1700590.8,"Cataraqui Granite Co is primarily engaged in manufacturing concrete products, except block and brick, from a combination of cement and aggregate."
Black Dog Tire & Lubricants Ltd,566 O'Connor Dr,K7P 1N3,613-507-8473,http://www.blackdogtire.com,1700590.8,"Black Dog Tire & Lubricants Ltd is primarily engaged in the retail sale of new automobile tires, batteries, and other automobile parts and accessories. Such establishments frequently sell a substantial amount of home appliances, radios, and television sets."
Oxford Seminars International Inc,310 Bagot St Suite 201,K7K 3B5,613-531-4443,,1700590.8,"Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses."
"Roman Catholic Episcopal Corporation of the Diocese of Kingston, In Canada, The",390 Palace Rd,K7L 4T3,613-548-4461,http://www.romancatholic.kingston.on.ca,1700590.8,"Establishments of religious organizations operated for worship, religious training or study, government or administration of an organized religion, or for promotion of religious activities. Other establishments maintained by religious organizations, such as educational institutions, hospitals, publishing houses, reading rooms, social services, and secondhand stores, are classified according to their primary activity. Also included in this industry are religious groups which reach the public through radio or television media."
883468 Ontario Limited,Gd,K0H 1X0,613-353-7486,http://www.winddriftsales.com,1700590.8,"883468 Ontario Limited is primarily engaged in the wholesale distribution of footwear (including athletic) of leather, rubber, and other materials."
Coral Services,1335 Rockwood Dr,K7P 2M8,613-541-9177,http://www.coralservices.ca,1700590.8,"Coral Services is a general contractor primarily engaged in construction (including new work, additions, alterations, remodeling, and repair) of residential buildings other than single-family houses."
Master Group Lp,1225 Gardiners Rd Suite 107,K7P 0G3,613-634-2552,http://www.master.ca,1700590.8,Master Group Lp is primarily engaged in the wholesale distribution of warm air heating and air-conditioning equipment and supplies.
Mcdonalds Restaurants,2658 Princess St,K7P 2W6,613-634-5888,http://www.mcdonalds.ca,1700590.8,Mcdonalds Restaurants is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.
Ormsbee Enterprises Inc,3814 Battersea Rd,K0H 1X0,613-353-6990,,1700590.8,"Ormsbee Enterprises Inc is primarily engaged in the retail sale of a general line of apparel, dry goods, hardware, housewares or home furnishings, groceries, and other lines in limited amounts. Stores selling commodities covered in the definition for department stores, but normally having less than 50 employees, and stores usually known as country general stores are included in this industry."
Queen's University Alumni Association,99 University Ave,K7L 3N5,613-533-2060,,1700590.8,"Queen's University Alumni Association is a membership organization engaged in civic, social, or fraternal activities."
GreenCentre Canada,945 Princess St,K7L 3N6,613-507-4700,http://www.greencentrecanada.com,1700590.8,GreenCentre Canada is primarily engaged in commercial physical and biological research and development on a contract or fee basis.
Ginsberg Gingras & Associates Inc,55 Rideau St Suite 2,K7K 2Z8,613-546-5530,,1700590.8,Establishments which are headed by members of the bar and are primarily engaged in offering legal advice or services.
Drapeau Automatic Sprinkler Corp,143 Hickson Ave,K7K 2N8,613-549-3353,http://www.drapeau-spk.ca,1700590.8,"Drapeau Automatic Sprinkler Corp is primarily engaged in the retail sale of products by means of automatic merchandising units, also referred to as vending machines."
Kingston Heading Service Limited,21 Steve Fonyo Dr,K7M 8P1,613-544-5817,,1700590.8,"Kingston Heading Service Limited is a contract tool and die shop and is primarily engaged in manufacturing, on a job or order basis, special tools and fixtures for use with machine tools, hammers, die-casting machines, and presses."
Social Planning Council of Kingston & Area,260 Brock St Suite 5,K7L 1S4,613-767-9397,http://www.spckingston.ca,1700590.8,Social Planning Council of Kingston & Area is primarily engaged in community improvement and social change. Organizations primarily engaged in soliciting contributions on their own account and administering appropriations and allocating funds among other agencies engaged in social welfare services are also included.
Universal Radiator Service Ltd,130 Hickson Ave,K7K 2N6,613-542-8803,http://www.uhtp.com,1700590.8,"Universal Radiator Service Ltd is primarily engaged in manufacturing power and marine boilers, pressure and nonpressure tanks, processing and storage vessels, heat exchangers, weldments and similar products, by the process of cutting, forming and joining metal plates, shapes, bars, sheet, pipe mill products and tubing to custom or standard design, for factory or field assembly."
Limestone Credit Union Ltd.,572 Princess St,K7L 1C9,613-548-4094,http://www.fedemkcu.com,1700590.8,Limestone Credit Union Ltd. is cooperative thrift and loan associationss (accepting deposits) organized under other than Federal charter to finance credit needs of itsmembers.
Amey's Greenwood Taxi Limited,795 Division St,K7K 4C2,613-546-1111,http://www.ameystaxi.com,1700590.8,"Amey's Greenwood Taxi Limited is primarily engaged in furnishing local and suburban mass passenger transportation over regular routes and on regular schedules, with operations confined principally to a municipality, contiguous municipalities, or a municipality and its suburban areas. Also This also includes furnishing passenger transportation by automobile, bus, or rail to, from, or between airports or rail terminals, over regular routes, and those providing bus and rail commuter services."
Blackstar Personal Services Inc,732 Princess St,K7L 1G2,613-549-0951,http://www.blackstar.ca,1700590.8,"Blackstar Personal Services Inc is primarily engaged in manufacturing costume jewelry, costume novelties, and ornaments made of all materials, except precious metal, precious or semiprecious stones, and rolled goldplate and gold- filled materials."
Boyd Electric Company Limited,833 Portsmouth Ave,K7M 1W6,613-548-4888,http://www.boydelectric.ca,1700590.8,"Boyd Electric Company Limited is primarily engaged in the retail sale of specialized lines of merchandise, not elsewhere classified, such as artists' supplies; orthopedic and artificial limbs; rubber stamps; pets; religious goods; and monuments and tombstones."
Kingston Process Metallurgy Inc,759 Progress Ave,K7M 6N6,613-634-2022,http://www.kpm.ca,1700590.8,Kingston Process Metallurgy Inc is primarily engaged in commercial physical and biological research and development on a contract or fee basis.
"Brett, James Coiffure Limited",189 Princess St,K7L 1A9,613-542-2427,http://www.jamesbrettcoiffure.com,1700590.8,"Brett, James Coiffure Limited is primarily engaged in furnishing beauty or hairdressing services. This industry also includes combination beauty and barber shops, as well as hairdressing shops serving both male and female clientele. Beauty and cosmetology schools are included in this industry."
1159329 Ontario Limited,1281 Midland Ave,K7P 2Y1,613-389-5544,http://www.kingstonhomeheating.com,1643971.1,"1159329 Ontario Limited is a special trade contractor primarily engaged in  plumbing, heating, air-conditioning, and similar work. Sheet metal work performed by plumbing, heating, and air-conditioning contractors in conjunction with the installation of plumbing, heating, and air-conditioning equipment is included."
Vita Pharma Inc,122 Regent St,K7L 4J8,613-389-1755,http://www.vitapharma.net,1600556.1,"Vita Pharma Inc is primarily engaged in the wholesale distribution of chemicals and allied products, not elsewhere classified, such as acids, industrial and heavy chemicals, dyestuffs, industrial salts, rosin, and turpentine."
Premier Homecare Services,993 Princess St Suite 208,K7L 1H3,613-531-0931,,1600556.1,"Premier Homecare Services is primarily engaged in providing inpatient nursing and rehabilitative services to patients who require continuous health care, but not hospital services. Care must be ordered by and under the direction of a physician. The staff must include a licensed nurse on duty continuously with a minimum of one full-time registered nurse on duty during each day shift. Included are establishments certified to deliver skilled nursing care under the Medicare and Medicaid programs."
"Mccreery, Dr Paul A",265 Concession St Suite B,K7K 2B7,613-546-9695,,1600556.1,Establishments of licensed practitioners having the degree of O.D. and engaged in the practice of optometry. Establishments operating as clinics of optometrists are included in this industry.
Independent Planning Group,204 Princess St,K7L 1B2,613-548-3031,http://www.ipckingston.com,1600556.1,"Independent Planning Group is primarily engaged in furnishing operating counsel and assistance to managements of private, nonprofit, and public organizations. These establishments generally perform a variety of activities, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; information systems planning, evaluation and selection; human resource policies and practices planning; and production scheduling and control planning."
International Development and Support Services (IDSS) Inc,4 Cataraqui St Suite L20,K7K 1Z7,,,1600556.1,International Development and Support Services (IDSS) Inc is primarily engaged in furnishing general or specialized management services on a day to day basis and on a contract or fee basis. Establishments in this industry do not provide operating staff.
Mackenzie Sheet Metal & Hvac Design,670 Fortune Cres Unit,K7P 2T3,613-384-2409,,1600556.1,"Mackenzie Sheet Metal & Hvac Design is primarily engaged in manufacturing sheet metal work for buildings (not including fabrication work done by construction contractors at the place of construction), and manufacturing stovepipes, light tanks, and other products of sheet metal."
Notre Dame Residence,7 Wright Cres,K7L 4T8,,,1600556.1,"Establishments of religious organizations operated for worship, religious training or study, government or administration of an organized religion, or for promotion of religious activities. Other establishments maintained by religious organizations, such as educational institutions, hospitals, publishing houses, reading rooms, social services, and secondhand stores, are classified according to their primary activity. Also included in this industry are religious groups which reach the public through radio or television media."
Cataraqui Dental Centre,476 Cataraqui Woods Dr,K7P 0J4,613-384-4224,http://www.cataraquidental.com,1600556.1,"Establishments of licensed practitioners having the degree of D.M.D. or D.D.S. (or D.D.Sc.) and engaged in the practice of general or specialized dentistry, including dental surgery. Establishments operating as clinics of dentists are included in this industry."
"Stafford, Larry Sound Design",728 Hillview Rd,K7M 5C9,613-389-1267,,1600556.1,"Stafford, Larry Sound Design is primarily engaged in renting or leasing (except finance leasing) equipment, not elsewhere classified."
Ye Olde Tuck Shoppe,99 University Ave,K7L 3N5,613-546-2912,,1600556.1,"Ye Olde Tuck Shoppe is a supermarket/grocery store, primarily engaged in the retail sale of all sorts of canned foods and dry goods, such as tea, coffee, spices, sugar, and flour; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry."
535276 Ontario Inc,125 Duff St,K7K 2L6,613-548-8497,,1600556.1,"535276 Ontario Inc is a general and special trade contractor primarily engaged in the construction of roads, streets, alleys, public sidewalks, guardrails, parkways, and airports."
Limestone Auto Body Limited,152 Hickson Ave,K7K 2N9,613-546-2272,,1600556.1,"Limestone Auto Body Limited is primarily engaged in the repair of automotive tops, bodies, and interiors, or automotive painting and refinishing. Also This also includes customizing automobiles, trucks, and vans except on a factory basis."
Kingston Lakeshore West Lions Club Inc,935 Sydenham Rd,K7M 3L8,613-542-9490,,1600556.1,"Kingston Lakeshore West Lions Club Inc is a membership organization, not elsewhere classified."
721661 Ontario Inc,2776 Princess St,K7P 1W9,613-547-2766,http://www.audiotronic.com,1600556.1,"721661 Ontario Inc is primarily engaged in furnishing business services, not elsewhere classified, such as bondspersons, drafting services, lecture bureaus, notaries public, sign painting, speakers' bureaus, water softening services, and auctioneering services, on a commission or fee basis."
Ker-Train Research Inc,497 Discovery Ave,K7K 7E8,613-531-3155,http://www.kertrain.com,1600556.1,"Ker-Train Research Inc is primarily engaged in manufacturing speed changers, industrial high-speed drives, except hydrostatic drives, and gears."
Holway & Hutchinson Insurance Ltd,515 Gardiners Rd,K7M 3Y2,613-389-8811,http://www.hhinsurance.on.ca,1600556.1,"Agents primarily representing one or more insurance carriers, or brokers not representing any particular carriers primarily engaged as independent contractors in the sale or placement of insurance contracts with carriers, but not employees of the insurance carriers they represent. This industry also includes independent organizations concerned with insurance services."
Ovation Travel Experiences Inc,1033 Sydenham Rd,K7M 3L8,,,1600556.1,"Ovation Travel Experiences Inc is primarily engaged in providing live theatrical presentations, such as road companies and summer theaters. This industry also includes services allied with theatrical presentations, such as casting agencies; booking agencies for plays, artists, and concerts; scenery, lighting, and other equipment services; and theatrical ticket agencies. Also included in this industry are producers of live and taped radio programs and commercials and producers of live television programs."
Expedia CruiseShipCenters,2806 Princess St,K7P 1W9,613-389-3988,http://www.cruiseshipcenters.com,1600556.1,"Expedia CruiseShipCenters is primarily engaged in furnishing travel information and acting as agents in arranging tours, transportation, rental of cars, and lodging for travelers."
"Carlile, Dr John B",235 Brock St Suite 1,K7L 1S3,,,1600556.1,"Carlile, Dr John B is primarily engaged in providing professional analytic or diagnostic services to the medical profession, or to the patient on prescription of a physician."
"Family and Children's Services of Frontenac, Lennox and Addington",817 Division St,K7K 4C2,613-545-3227,http://www.facsfla.ca,1600556.1,"Family and Children's Services of Frontenac, Lennox and Addington is a membership organization, not elsewhere classified."
Frontenac County Childcare Centre,153 Van Order Dr,K7M 1B9,613-542-0060,,1600556.1,"Frontenac County Childcare Centre is primarily engaged in the care of infants or children, or in providing pre-kindergarten education, where medical care or delinquency correction is not a major element. These establishments may or may not have substantial educational programs. These establishments generally care for pre-kindergarten or preschool children, but may care for older children when they are not in school."
148992 Canada Ltd,566 Cataraqui Woods Dr,K7P 2Y5,613-225-0982,http://www.queenswaytours.ca,1600556.1,"148992 Canada Ltd is primarily engaged in furnishing travel information and acting as agents in arranging tours, transportation, rental of cars, and lodging for travelers."
"Performance Shed Ltd, The",3768 Hwy 38,K0H 1V0,613-372-1280,http://www.performanceshed.com,1600556.1,"Performance Shed Ltd, The is primarily engaged in the retail sale of new and used motorcycles, including motor scooters and mopeds, and all-terrain vehicles."
Kingston Frameworks Ltd,198 Princess St,K7L 1B2,613-546-1868,http://www.kingstonframeworks.ca,1600556.1,"Kingston Frameworks Ltd is primarily engaged in the retail sale of miscellaneous home-furnishings, such as china, glassware, and metalware for kitchen and table use; bedding and linen; brooms and brushes; lamps and shades; mirrors and pictures; venetian blinds; and window shades."
PARTEQ Research and Development Innovations,945 Princess St,K7L 0E9,613-533-2342,http://www.parteqinnovations.com,1600556.1,"PARTEQ Research and Development Innovations is primarily engaged in performing commercial business, marketing, opinion, and other economic, sociological, and educational research on a contract or fee basis."
Kingston Financial Centre Inc,633 Norris Crt Unit 4,K7P 2R9,613-542-8955,http://www.gardinersfinancialcentre.ca,1600556.1,"Kingston Financial Centre Inc is primarily engaged in furnishing operating counsel and assistance to managements of private, nonprofit, and public organizations. These establishments generally perform a variety of activities, such as strategic and organizational planning; financial planning and budgeting; marketing objectives and policies; information systems planning, evaluation and selection; human resource policies and practices planning; and production scheduling and control planning."
Glen Supply Company Limited,1149 John Counter Blvd,K7K 6C7,613-542-4957,http://www.glensupply.ca,1600556.1,"Glen Supply Company Limited is primarily engaged in selling primarily lumber, or lumber and a general line of building materials, to the general public. While these establishments may sell primarily to construction contractors, they are known as retail in the trade. The lumber which they sell may include rough and dressed lumber, flooring, molding, doors, sashes, frames, and other millwork. The building materials may include roofing, siding, shingles, wallboard, paint, brick, tile, cement, sand, gravel, and other building materials and supplies. Hardware is often an important line sold by retail lumber and building materials dealers."
"Gillis, Dr Robert R Professional Corporation Dentistry",29 Niagara Pk,K7K 7B4,613-544-2111,http://www.kingstondentalcare.ca,1600556.1,"Establishments of licensed practitioners having the degree of D.M.D. or D.D.S. (or D.D.Sc.) and engaged in the practice of general or specialized dentistry, including dental surgery. Establishments operating as clinics of dentists are included in this industry."
Queens University IRC,138 Union St W,K7L 2P1,613-533-6000,http://www.queensu.ca,1600556.1,"Colleges, universities, and professional schools furnishing academic courses and granting academic degrees. The requirement for admission is at least a high school diploma or equivalent general academic training."
Options for Change Community Addictions Treatment Services,303 Bagot St Suite 300,K7K 5W7,613-546-1758,,1600556.1,"Options for Change Community Addictions Treatment Services is primarily engaged in outpatient care of a specialized nature with permanent facilities and with medical staff to provide diagnosis, treatment, or both for patients who are ambulatory and do not require inpatient care."
G.T. Air Systems Inc,662 Progress Ave,K7M 4W9,613-634-8499,http://www.gtair.ca,1600556.1,G.T. Air Systems Inc is a special trade contractor primarily engaged in  electrical work at the site.
"Credit Medic, The",1429 Princess St,K7M 3E9,613-549-7353,,1600556.1,"Credit Medic, The is primarily engaged in furnishing intermediate or long-term general and industrial credit, including the finance leasing of automobiles, trucks, and machinery and equipment."
Therm Aire (Kingston) Ltd,50 Grant Timmins Dr,K7M 8N2,613-546-7660,http://www.thermaire.com,1600556.1,"Therm Aire (Kingston) Ltd is a special trade contractor primarily engaged in  plumbing, heating, air-conditioning, and similar work. Sheet metal work performed by plumbing, heating, and air-conditioning contractors in conjunction with the installation of plumbing, heating, and air-conditioning equipment is included."
Collinson Custom Building & Carpentry Inc,1407 John Counter Blvd Unit 16,K7K 6A9,613-561-7218,,1523923.9,"Collinson Custom Building & Carpentry Inc is a general contractor primarily engaged in the construction (including new work, additions, alterations, remodeling, and repair) of nonresidential buildings, other than industrial buildings and warehouses. Included are nonresidential buildings, such as commercial, institutional, religious, and amusement and recreational buildings."
Community Spirit Bingo Centre,900 Montreal St,K7K 3J9,613-546-6839,http://www.communityspiritbingo.com,1500521.3,"Community Spirit Bingo Centre is primarily engaged in the operation of sports, amusement, and recreation services, not elsewhere classified, such as bathing beaches, swimming pools, riding academies and schools, carnival operation, exposition operation, horse shows, picnic grounds operation, rental of rowboats and canoes, and shooting galleries."
1684555 Ontario Inc,1292 Bath Rd,K7M 4X3,,,1500521.3,"1684555 Ontario Inc is primarily engaged in the retail sale of specialized lines of merchandise, not elsewhere classified, such as artists' supplies; orthopedic and artificial limbs; rubber stamps; pets; religious goods; and monuments and tombstones."
Archer Pumps Limited,2599 Mcivor Rd,K7L 4V4,613-389-0330,http://www.archerpumps.com,1500521.3,"Archer Pumps Limited is primarily engaged in the wholesale distribution of industrial machinery and equipment, not elsewhere classified."
Harvest Facility Holdings LP,520 Kingsdale Ave Suite 206,K7M 9B6,613-547-4884,http://www.holidaytouch.com,1500521.3,"Harvest Facility Holdings LP is primarily engaged in the provision of residential social and personal care for children, the aged, and special categories of persons with some limits on ability for self-care, but where medical care is not a major element. Included are establishments providing 24-hour year-round care for children."
1744979 Ontario Inc,933 Innovation Dr,K7K 7E6,613-549-1875,,1500521.3,1744979 Ontario Inc is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.
Downtown Kingston! Business Improvement Area,177 Wellington St Suite 202,K7L 3E3,613-542-8677,http://www.downtownkingston.ca,1500521.3,Downtown Kingston! Business Improvement Area is primarily engaged in community improvement and social change. Organizations primarily engaged in soliciting contributions on their own account and administering appropriations and allocating funds among other agencies engaged in social welfare services are also included.
1483674 Ontario Limited,670 Norris Crt,K7P 2R9,613-634-2437,http://www.multideas.ca,1500521.3,"1483674 Ontario Limited is primarily engaged in the preparation of materials, written or spoken, which are designed to influence the general public or other groups in promoting the interests of their clients."
Kingston Literacy,859 Princess St,K7L 1G7,613-547-2012,http://www.klandskills.ca,1500521.3,"Elementary and secondary schools furnishing academic courses, ordinarily for kindergarten through grade 12. Included in this industry are parochial schools and military academies furnishing academic courses for kindergarten through grade 12, and secondary schools which furnish both academic and technical courses."
C Y Interiors Ltd,606 Norris Crt,K7P 2R9,613-384-9366,,1500521.3,"C Y Interiors Ltd is a general contractor primarily engaged in the construction (including new work, additions, alterations, remodeling, and repair) of nonresidential buildings, other than industrial buildings and warehouses. Included are nonresidential buildings, such as commercial, institutional, religious, and amusement and recreational buildings."
Eastron Realty Ltd,506 Days Rd Unit L,K7M 5R4,,,1500521.3,"Eastron Realty Ltd is primarily engaged in renting, buying, selling, managing, and appraising real estate for others."
1112076 Ontario Limited,700 Progress Ave,K7M 4W9,877-996-6622,http://www.micromarket.on.ca,1500521.3,"1112076 Ontario Limited is primarily engaged in the design, development, and production of prepackaged computer software. Important products of this industry include operating, utility, and applications programs. Establishments of this industry may also provide services such as preparation of software documentation for the user-installation of software for the user; and training the user in the use of the software."
United Steel Workers,328 King St E Suite 201,K7L 3B4,519-745-7681,,1500521.3,United Steel Workers is an organization of workers for the improvement of wages and working conditions.
Kingston Municipal Non-Profit Housing Corporation,37 Cassidy St Suite 222,K7K 7B3,613-542-0443,http://www.townhomeskingston.ca,1500521.3,Kingston Municipal Non-Profit Housing Corporation is primarily engaged in community improvement and social change. Organizations primarily engaged in soliciting contributions on their own account and administering appropriations and allocating funds among other agencies engaged in social welfare services are also included.
Universale Town Holdings Inc,60 Rigney St,K7K 6Z2,613-544-8882,,1500521.3,Universale Town Holdings Inc is primarily engaged in holding or owning the securities of banks for the sole purpose of exercising some degree of control over the activities of bank companies whose securities they hold.
K F C Red's Restaurants Inc,1668 Bath Rd,K7M 4X9,613-389-5393,,1500521.3,K F C Red's Restaurants Inc is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.
Woodman Machine Products Ltd,633 Justus Dr,K7M 4H5,613-384-0845,http://www.woodmanmachine.com,1500521.3,"Woodman Machine Products Ltd is primarily engaged in manufacturing machinery and equipment and parts, such as amusement park equipment and flexible metal hose and tubing. This also includes producing or repairing machinery and equipment parts, not elsewhere classified, on a job or order basis for others."
Kingston Gymnastic Club Inc,1343 Midland Ave Unit 320,K7P 2W5,613-384-1190,,1500521.3,"Kingston Gymnastic Club Inc is primarily engaged in operating reducing and other health clubs, spas, and similar facilities featuring exercise and other active physical fitness conditioning, whether or not on a membership basis. Also included in this industry are establishments providing aerobic dance and exercise classes."
Nellie's Gas Bar,4585 Hwy 38,K0H 1V0,613-372-5577,,1500521.3,"Nellie's Gas Bar is a gasoline service station primarily engaged in selling gasoline and lubricating oils. They also sell other merchandise, such as tires, batteries, and other automobile parts, or perform minor repair work."
Clow Farm Equipment Limited,2542 White Church Rd,K0H 1Y0,613-541-3912,,1500521.3,"Clow Farm Equipment Limited is primarily engaged in the retail sale of specialized lines of merchandise, not elsewhere classified, such as artists' supplies; orthopedic and artificial limbs; rubber stamps; pets; religious goods; and monuments and tombstones."
Aunt Lucy's Restaurants 2 Ltd,1399 Princess St,K7M 3E9,613-900-6219,,1500521.3,Aunt Lucy's Restaurants 2 Ltd is primarily engaged in the retail sale of prepared food and drinks for on-premise or immediate consumption. Caterers and industrial and institutional food service establishments are also included in this industry.
Gateview Equipment Ltd,1063 Sydenham Rd,K7M 3L8,613-544-6363,http://www.gateviewequipment.com,1500521.3,"Gateview Equipment Ltd is primarily engaged in the retail sale of specialized lines of merchandise, not elsewhere classified, such as artists' supplies; orthopedic and artificial limbs; rubber stamps; pets; religious goods; and monuments and tombstones."
Salamone Brothers Mason Contractors Limited,456 Maple Lawn Dr,K0H 1S0,613-549-6819,,1500521.3,"Salamone Brothers Mason Contractors Limited is a special trade contractor primarily engaged in  masonry work, stone setting, and other stone work."
Chadwick Engineering Ltd,633 Norris Crt Suite 1,K7P 2R9,613-384-2866,http://www.chadwickengineering.com,1500521.3,"Chadwick Engineering Ltd is primarily engaged in manufacturing machinery and equipment and parts, such as amusement park equipment and flexible metal hose and tubing. This also includes producing or repairing machinery and equipment parts, not elsewhere classified, on a job or order basis for others."
Kingston Terminal Properties Limited,105 Princess St Unit 103,K7L 1A8,613-542-7343,http://www.springergroup.com,1500521.3,Kingston Terminal Properties Limited is primarily engaged in the operation of nonresidential buildings.
